"id","GeotabId","ActiveFrom","ActiveTo","BaseType","Comment","Name","Version","EntityStatus","RecordLastChangedUtc"
"79","aF4C7UnPf2kCFE9hmdUNP2Q","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Autoglass Pg06","3925",1,"2024-04-10 20:02:52.548881"
"80","aysPTF_k0okaavjjloIzjUw","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","SVC - SPR8 CAMPINA GRANDE DO SUL","5182",1,"2024-04-10 20:02:52.549807"
"81","aKLTlQfT2Mku8hKoKcDxc9A","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","Conj. Hab. Juscelino Kubitscheck de Oliveira, São Paulo - SP, 08131-200, Brasil","521",1,"2024-04-10 20:02:52.55084"
"82","aXPF7GAKeqEyhP8ZqgKAP7w","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Qualicenter Auto","4927",1,"2024-04-10 20:02:52.551796"
"83","aw9v330TaT0OROIhPQ5cDdQ","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Pneus Sao Paulo","4132",1,"2024-04-10 20:02:52.552643"
"84","aGx6W_LvdQ0K1XprsXiQheA","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Meta Comercial E Serviços","4467",1,"2024-04-10 20:02:52.553477"
"85","adVlbtWAWUU-T7XEOSa-S3g","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Minas Acessórios","4249",1,"2024-04-10 20:02:52.55428"
"86","ap8UX_LW0QEWoEsxnVKpN8w","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - Real Auto Center - Campinas","4339",1,"2024-04-10 20:02:52.555154"
"87","a57_oroOqjE-AKkT32O9gdQ","1986-01-01 00:00:00","2050-01-01 00:00:00","ZoneStop","","OFICINA - New Auto Center","4155",1,"2024-04-10 20:02:52.556046"
"88","amxoGN6Z4rUqWPPjxFLChXQ","2024-03-03 11:33:43.079","2050-01-01 00:00:00","Custom","","Excesso temperatura do motor.","5426",1,"2024-04-10 20:02:52.557021"
