ID,ModeloCarro,DeviceId,ChargeType,DurationTicks,StartStateOfCharge,EndStateOfCharge,MeasuredBatteryEnergyInKwh,PeakPowerKw,DeltaSOC,DurationHours,valor_predito,confianca,MeasuredBatteryEnergyInKwh_Predict,Hit_Rate
78,KANGOO Z.E. MAXI 2 LUGARES 2P,b10F1,AC,104656330000,19.000438690185547,83.0,19.6200008392334,-1.2761363983154297,80.99956130981445,2.9071202777777776,-65536,-65536,11.37530690255803,0.6964464313771691
79,KANGOO Z.E. MAXI 2 LUGARES 2P,b11AA,AC,103545870000,29.0,86.0,17.18000030517578,,71.0,2.8762741666666667,-65536,-65536,11.283185217951985,0.6964464313771691
80,KANGOO Z.E. MAXI 2 LUGARES 2P,b11AA,AC,103545870000,29.0,86.0,17.18000030517578,,71.0,2.8762741666666667,-65536,-65536,11.283185217951985,0.6964464313771691
81,KANGOO Z.E. MAXI 2 LUGARES 2P,b9E1,AC,20531170000,73.0,84.00154113769531,3.470000028610229,,27.0,0.5703102777777778,-65536,-65536,4.396440975867154,0.6964464313771691
82,KANGOO Z.E. MAXI 2 LUGARES 2P,b9E1,AC,20531170000,73.0,84.00154113769531,3.470000028610229,,27.0,0.5703102777777778,-65536,-65536,4.396440975867154,0.6964464313771691
83,KANGOO Z.E. MAXI 2 LUGARES 2P,b9E1,AC,2291560000,72.0,73.0,0.3499999940395355,-0.5477272868156433,28.0,0.06365444444444444,-65536,-65536,2.8833170454623844,0.6964464313771691
84,KANGOO Z.E. MAXI 2 LUGARES 2P,b1178,AC,60437900000,74.0,100.0,9.25,,26.0,1.6788305555555556,-65536,-65536,7.707028655494184,0.6964464313771691
85,KANGOO Z.E. MAXI 2 LUGARES 2P,b1178,AC,60437900000,74.0,100.0,9.25,,26.0,1.6788305555555556,-65536,-65536,7.707028655494184,0.6964464313771691
86,KANGOO Z.E. MAXI 2 LUGARES 2P,b1178,AC,979470000,74.0,74.0,0.1299999952316284,,26.0,0.0272075,-65536,-65536,2.7744685131831965,0.6964464313771691
87,KANGOO Z.E. MAXI 2 LUGARES 2P,b1178,AC,979470000,74.0,74.0,0.1299999952316284,,26.0,0.0272075,-65536,-65536,2.7744685131831965,0.6964464313771691
88,KANGOO Z.E. MAXI 2 LUGARES 2P,b1178,AC,79670000,73.98453521728516,74.0,0.0,-0.2113636434078216,26.015464782714844,0.0022130555555555553,-65536,-65536,2.6998227881606653,0.6964464313771691
89,KANGOO Z.E. MAXI 2 LUGARES 2P,b1178,AC,79670000,73.98453521728516,74.0,0.0,-0.2113636434078216,26.015464782714844,0.0022130555555555553,-65536,-65536,2.6998227881606653,0.6964464313771691
90,KANGOO Z.E. MAXI 2 LUGARES 2P,b1E5,AC,12590270000,16.0,23.0,2.1600000858306885,,84.0,0.3497297222222222,-65536,-65536,3.73767876445193,0.6964464313771691
91,KANGOO Z.E. MAXI 2 LUGARES 2P,b1E5,AC,12590270000,16.0,23.0,2.1600000858306885,,84.0,0.3497297222222222,-65536,-65536,3.73767876445193,0.6964464313771691
92,KANGOO Z.E. MAXI 2 LUGARES 2P,b1E5,AC,310670000,16.0,16.0,0.0299999993294477,,84.0,0.008629722222222223,-65536,-65536,2.718986116100435,0.6964464313771691
93,KANGOO Z.E. MAXI 2 LUGARES 2P,b1E5,AC,310670000,16.0,16.0,0.0299999993294477,,84.0,0.008629722222222223,-65536,-65536,2.718986116100435,0.6964464313771691
94,E-EXPERT,b10A4,AC,102946870000,88.875,100.0,7.420000076293945,-0.543181836605072,11.125,2.8596352777777776,-65536,-65536,11.160725048163625,0.6506321049548976
95,E-EXPERT,b10A4,AC,102946870000,88.875,100.0,7.420000076293945,-0.543181836605072,11.125,2.8596352777777776,-65536,-65536,11.160725048163625,0.6506321049548976
96,KANGOO Z.E. MAXI 2 LUGARES 2P,b11AA,AC,20956130000,17.0,29.0,3.619999885559082,-0.3852272629737854,83.0,0.5821147222222223,-65536,-65536,4.431694862625962,0.6964464313771691
97,KANGOO Z.E. MAXI 2 LUGARES 2P,b11AA,AC,20956130000,17.0,29.0,3.619999885559082,-0.3852272629737854,83.0,0.5821147222222223,-65536,-65536,4.431694862625962,0.6964464313771691
98,E-JUMPY,b101E,AC,61519530000,59.5,63.5,2.569999933242798,-0.0931818187236785,40.5,1.7088758333333334,-65536,-65536,8.503457692548412,0.7165073048095479
99,E-JUMPY,b101E,AC,61519530000,59.5,63.5,2.569999933242798,-0.0931818187236785,40.5,1.7088758333333334,-65536,-65536,8.503457692548412,0.7165073048095479
100,KANGOO Z.E. MAXI 2 LUGARES 2P,b1E5,AC,17560600000,6.0,16.0,3.0799999237060547,-30.605682373046875,94.0,0.4877944444444444,-65536,-65536,4.150008044793382,0.6964464313771691
101,KANGOO Z.E. MAXI 2 LUGARES 2P,b1E5,AC,17560600000,6.0,16.0,3.0799999237060547,-30.605682373046875,94.0,0.4877944444444444,-65536,-65536,4.150008044793382,0.6964464313771691
102,E- SCUDO 4P,b1208,AC,89207729999,77.0,94.0,11.81999969482422,-0.5306817889213562,23.0,2.4779924999722223,-65536,-65536,9.617421735138201,0.7484046965202705
103,E- SCUDO 4P,b1208,AC,89207729999,77.0,94.0,11.81999969482422,-0.5306817889213562,23.0,2.4779924999722223,-65536,-65536,9.617421735138201,0.7484046965202705
104,JAC IEV1200T AT 4X2 2P,bA38,DC,44954240000,58.0,100.0,44.54999923706055,,42.0,1.248728888888889,-65536,-65536,13.402183901221749,0.4384444242690484
105,JAC IEV1200T AT 4X2 2P,bA38,DC,44954240000,58.0,100.0,44.54999923706055,,42.0,1.248728888888889,-65536,-65536,13.402183901221749,0.4384444242690484
106,JAC IEV1200T AT 4X2 2P,bA38,DC,63470000,58.0,58.0,0.0,-0.550000011920929,42.0,0.0017630555555555555,-65536,-65536,-0.0059837208056283085,0.4384444242690484
107,JAC IEV1200T AT 4X2 2P,bA38,DC,63470000,58.0,58.0,0.0,-0.550000011920929,42.0,0.0017630555555555555,-65536,-65536,-0.0059837208056283085,0.4384444242690484
108,JAC IEV1200T AT 4X2 2P,b610,DC,23830000,100.0,100.0,0.0,,0.0,0.0006619444444444445,-65536,-65536,-0.017823565934975947,0.4384444242690484
109,KANGOO Z.E. MAXI 2 LUGARES 2P,bE75,AC,9700700000,100.0,100.0,0.6600000262260437,-0.4477272629737854,0.0,0.2694638888888889,-65536,-65536,3.4979654418765183,0.6964464313771691
110,KANGOO Z.E. MAXI 2 LUGARES 2P,bE75,AC,9700700000,100.0,100.0,0.6600000262260437,-0.4477272629737854,0.0,0.2694638888888889,-65536,-65536,3.4979654418765183,0.6964464313771691
111,JAC IEV1200T AT 4X2 2P,b1138,DC,15832770000,79.5,100.0,21.21999931335449,,20.5,0.4397991666666667,-65536,-65536,4.704058403266566,0.4384444242690484
112,JAC IEV1200T AT 4X2 2P,b1138,DC,15832770000,79.5,100.0,21.21999931335449,,20.5,0.4397991666666667,-65536,-65536,4.704058403266566,0.4384444242690484
113,KANGOO Z.E. MAXI 2 LUGARES 2P,b40C,AC,32561570000,52.0,70.0,5.579999923706055,-0.4011363685131073,48.0,0.9044880555555556,-65536,-65536,5.3944604583199895,0.6964464313771691
114,KANGOO Z.E. MAXI 2 LUGARES 2P,b40C,AC,32561570000,52.0,70.0,5.579999923706055,-0.4011363685131073,48.0,0.9044880555555556,-65536,-65536,5.3944604583199895,0.6964464313771691
115,E-JUMPY,b907,AC,12529300000,82.5,86.875,2.859999895095825,-0.5443181991577148,17.5,0.3480361111111111,-65536,-65536,3.8171587425196316,0.7165073048095479
116,E-JUMPY,b907,AC,12529300000,82.5,86.875,2.859999895095825,-0.5443181991577148,17.5,0.3480361111111111,-65536,-65536,3.8171587425196316,0.7165073048095479
117,E-JUMPY,bC8B,AC,165850030000,82.0,97.8748779296875,12.629339218139648,-0.5352272987365723,18.0,4.606945277777778,-65536,-65536,18.483486620887344,0.7165073048095479
118,E-JUMPY,bC8B,AC,165850030000,82.0,97.8748779296875,12.629339218139648,-0.5352272987365723,18.0,4.606945277777778,-65536,-65536,18.483486620887344,0.7165073048095479
