"ModeloCarro","id","GeotabId","ChargeIsEstimated","ChargeType","StartTime","DeviceId","DurationTicks","EndStateOfCharge","EnergyConsumedKwh","EnergyUsedSinceLastChargeKwh","Latitude","Longitude","MaxACVoltage","MeasuredBatteryEnergyInKwh","MeasuredBatteryEnergyOutKwh","MeasuredOnBoardChargerEnergyInKwh","MeasuredOnBoardChargerEnergyOutKwh","PeakPowerKw","StartStateOfCharge","TripStop","Version","RecordCreationTimeUtc"
"Partner Rapid Business Pack - Motor 1.4 ","2342","aW8gPHCHTLE61RzGTB0h79g",True,"AC","2024-04-10 15:41:33","b101A","5703130000","100","0","0","-20.1458683013916","-40.237056732177734",NULL,"0","0.019999999552965164","0","0","-0.5522727370262146","100","2024-04-10 00:30:30.063","2291519","2024-04-10 20:03:05.580012"
"Kangoo Z.E. MAXI 2 Lugares 2P","77","aqJR7gDJkTUSLhEHN81YcTQ",True,"AC","2024-04-10 15:40:29.013","b1129","9767500000","100","1.204545497894287","0.9700000286102295","-23.12314796447754","-46.5660400390625",NULL,"1.059999942779541","0","0","0","-0.22499999403953552","98","2024-04-10 15:39:46","2291267","2024-04-10 20:03:05.580012"
"Kangoo Z.E. MAXI 2 Lugares 2P","3171","a8MSHYm77UEuC_beBQLxx8Q",True,"AC","2024-04-10 15:40:29.013","b1129","9767500000","100","1.204545497894287","0.9700000286102295","-23.12314796447754","-46.5660400390625",NULL,"1.059999942779541","0","0","0","-0.22499999403953552","98","2024-04-10 15:39:46","2292451","2024-04-10 20:18:58.115485"
"E- Scudo 4P","222","aVHpd9l6em0iFsyo7BHfHuw",True,"AC","2024-04-10 15:38:21","b1208","447800000","94","0.04545454680919647","0","-20.06231117248535","-43.975807189941406",NULL,"0.03999999910593033","0","0","0","-0.5511363744735718","94","2024-04-10 12:58:25.063","2291051","2024-04-10 20:03:05.580012"
"E- Scudo 4P","3137","awZo9o2SNQEuNo9K56jmMYA",True,"AC","2024-04-10 15:38:21","b1208","447800000","94","0.04545454680919647","0","-20.06231117248535","-43.975807189941406",NULL,"0.03999999910593033","0","0","0","-0.5511363744735718","94","2024-04-10 12:58:25.063","2292410","2024-04-10 20:18:27.72304"
"E-Jumpy","3108","aIVptM6mXiUqUqUlcxsGc6g",True,"AC","2024-04-10 15:35:15","b101E","19601670000","54.375","1.7272727489471436","7.130000114440918","-20.145740509033203","-40.237003326416016",NULL,"1.5199999809265137","0","0","0","-0.09090909361839294","51.625","2024-04-10 15:34:42","2292397","2024-04-10 20:17:56.970788"
"E-Jumpy","776","aOLlKAbwvBkOPZkXiPQuy-w",True,"AC","2024-04-10 15:35:15","b101E","19601670000","54.375","1.7272727489471436","7.130000114440918","-20.145740509033203","-40.237003326416016",NULL,"1.5199999809265137","0","0","0","-0.09090909361839294","51.625","2024-04-10 15:34:42","2291039","2024-04-10 20:03:05.580012"
"E- Scudo 4P","143","aYybH-gGO1kO1JiMZDtsTLw",True,"AC","2024-04-10 15:31:40","b11CF","507470000","100","0","0","-23.49967384338379","-46.89326095581055",NULL,"0","0","0","0","-0.15227273106575012","100","2024-04-10 12:03:40","2291088","2024-04-10 20:03:05.580012"
"E- Scudo 4P","3176","a4owQxc2p2keDhOYPVsQt_A",True,"AC","2024-04-10 15:31:40","b11CF","507470000","100","0","0","-23.49967384338379","-46.89326095581055",NULL,"0","0","0","0","-0.15227273106575012","100","2024-04-10 12:03:40","2292441","2024-04-10 20:18:58.115485"
"Kangoo Z.E. MAXI 2 Lugares 2P","3118","anR7owraJyUyvGL1YBByCHw",True,"AC","2024-04-10 15:30:10","bE74","66162870000","43","6.238636493682861","0","-15.79417610168457","-47.98691940307617",NULL,"5.489999771118164","0","0","0","-0.3920454680919647","25","2024-04-10 12:11:14.063","2292436","2024-04-10 20:18:27.72304"
"Kangoo Z.E. MAXI 2 Lugares 2P","979","aRWbxTv7slkmpj7AEmsXR-A",True,"AC","2024-04-10 15:30:10","bE74","66162870000","43","6.238636493682861","0","-15.79417610168457","-47.98691940307617",NULL,"5.489999771118164","0","0","0","-0.3920454680919647","25","2024-04-10 12:11:14.063","2291067","2024-04-10 20:03:05.580012"
"ZOE","75","aOz0OzSs7_USyiXVxO0vskQ",False,"DC","2024-04-10 15:18:30","b10F8","10861830000","47.84497833251953","0","-29.950000762939453","-23.51183319091797","-46.743858337402344",NULL,"0","13.399999618530273","0","0","-45.090999603271484","22.744312286376953","2024-04-10 15:15:00","2291037","2024-04-10 20:03:05.580012"
"ZOE","3112","ahDvA-5XJCUGnhpPJTw_Bhg",False,"DC","2024-04-10 15:18:30","b10F8","10861830000","47.84497833251953","0","-29.950000762939453","-23.51183319091797","-46.743858337402344",NULL,"0","13.399999618530273","0","0","-45.090999603271484","22.744312286376953","2024-04-10 15:15:00","2292395","2024-04-10 20:17:56.970788"
"Kangoo Z.E. MAXI 2 Lugares 2P","3151","awto0oQ--z0GhGa4AdNr-8w",True,"AC","2024-04-10 15:08:07.013","b40F","141750270000","99","25.30681800842285","22.100000381469727","-23.289113998413086","-51.09977722167969",NULL,"22.270000457763672","0","0","0","-0.13409091532230377","30","2024-04-10 15:07:22","2292434","2024-04-10 20:18:27.72304"
"E- Scudo 4P","3273","anZ8HJcEktEyQxn-fwccAkg",True,"AC","2024-04-10 14:47:37","b1270","56841070000","100","6.715909004211426","0","-19.946752548217773","-44.03215408325195",NULL,"5.909999847412109","0","0","0","-0.550000011920929","93.125","2024-04-10 04:57:39","2292557","2024-04-10 20:29:38.712292"
"E- Scudo 4P","456","aJ-x7F31ujEGaDIM9U2dP_A",True,"AC","2024-04-10 14:47:37","b1270","56841070000","100","6.715909004211426","0","-19.946752548217773","-44.03215408325195",NULL,"5.909999847412109","0","0","0","-0.550000011920929","93.125","2024-04-10 04:57:39","2291176","2024-04-10 20:03:05.580012"
"Kangoo Z.E. MAXI 2 Lugares 2P","1866","aIM5_wYMrFEGFF36V3UNvvw",True,"AC","2024-04-10 14:36:58","b10D7","10399800000","91","1.8068181276321411","0","-23.511577606201172","-46.74375534057617",NULL,"1.590000033378601","0","0","0","-0.43409091234207153","85","2024-04-10 14:36:28","2291054","2024-04-10 20:03:05.580012"
"Kangoo Z.E. MAXI 2 Lugares 2P","3135","aSzqxtuNjw0i9dUmt-9H0dg",True,"AC","2024-04-10 14:36:58","b10D7","10399800000","91","1.8068181276321411","0","-23.511577606201172","-46.74375534057617",NULL,"1.590000033378601","0","0","0","-0.43409091234207153","85","2024-04-10 14:36:28","2292413","2024-04-10 20:18:27.72304"
"Kangoo Z.E. MAXI 2 Lugares 2P","3128","a4ufcssE99ES67xi8FT87EQ",True,"AC","2024-04-10 14:35:22","b9E1","5955200000","83.9999771118164","1.0681818723678589","1.2899999618530273","-23.5130615234375","-46.71549606323242",NULL,"0.9399999976158142","0","0","0","-0.4284090995788574","81","2024-04-10 14:34:46","2292400","2024-04-10 20:18:27.72304"
"Kangoo Z.E. MAXI 2 Lugares 2P","2347","avOao5ojrXE2tnsh3yknmqQ",True,"AC","2024-04-10 14:35:22","b9E1","5955200000","83.9999771118164","1.0681818723678589","1.2899999618530273","-23.5130615234375","-46.71549606323242",NULL,"0.9399999976158142","0","0","0","-0.4284090995788574","81","2024-04-10 14:34:46","2291042","2024-04-10 20:03:05.580012"
"Kangoo Z.E. MAXI 2 Lugares 2P","2331","aa3lk66CoS06ivLSV-BDV3Q",True,"AC","2024-04-10 14:32:37","b10D7","1699870000","85","0.3295454680919647","5.300000190734863","-23.511653900146484","-46.74375534057617",NULL,"0.28999999165534973","0","0","0","-3.454545497894287","84","2024-04-10 14:29:20","2291053","2024-04-10 20:03:05.580012"
"Kangoo Z.E. MAXI 2 Lugares 2P","3122","a_-sckoRx1ESKJd-Njcv7Ow",True,"AC","2024-04-10 14:32:37","b10D7","1699870000","85","0.3295454680919647","5.300000190734863","-23.511653900146484","-46.74375534057617",NULL,"0.28999999165534973","0","0","0","-3.454545497894287","84","2024-04-10 14:29:20","2292412","2024-04-10 20:18:27.72304"
"Kangoo Z.E. MAXI 2 Lugares 2P","3136","aareV3ZRGGkadq9WaUX1rcg",True,"AC","2024-04-10 14:29:55","b1177","109129730000","100","20.545454025268555","12.960000038146973","-22.911462783813477","-47.100364685058594",NULL,"18.079999923706055","0","0","0","-0.1977272778749466","41","2024-04-10 14:29:22","2292402","2024-04-10 20:18:27.72304"
"Kangoo Z.E. MAXI 2 Lugares 2P","1110","a-PaRVcCOQ0mzy4WikxLOEQ",True,"AC","2024-04-10 14:25:33","b40B","44477630000","74","8.022727012634277","15.550000190734863","-23.511781692504883","-46.743858337402344",NULL,"7.059999942779541","0","0","0","-0.5227272510528564","51","2024-04-10 13:54:35","2291048","2024-04-10 20:03:05.580012"
"Kangoo Z.E. MAXI 2 Lugares 2P","3147","a6R8KolKlXkiG4ByELWaxEg",True,"AC","2024-04-10 14:25:33","b40B","44477630000","74","8.022727012634277","15.550000190734863","-23.511781692504883","-46.743858337402344",NULL,"7.059999942779541","0","0","0","-0.5227272510528564","51","2024-04-10 13:54:35","2292415","2024-04-10 20:18:27.72304"
"Kangoo Z.E. MAXI 2 Lugares 2P","3130","aPx8uQu_GUkqDVrI14U2siw",True,"AC","2024-04-10 14:12:42","b23D","1544530000","95","0.27272728085517883","2.140000104904175","-23.960371017456055","-46.4700927734375",NULL,"0.23999999463558197","0","0","0","-0.4420454502105713","94","2024-04-10 14:12:04","2292404","2024-04-10 20:18:27.72304"
"Kangoo Z.E. MAXI 2 Lugares 2P","1532","ayQ6rbvRiAU-smniEaWGJBA",True,"AC","2024-04-10 14:12:42","b23D","1544530000","95","0.27272728085517883","2.140000104904175","-23.960371017456055","-46.4700927734375",NULL,"0.23999999463558197","0","0","0","-0.4420454502105713","94","2024-04-10 14:12:04","2291044","2024-04-10 20:03:05.580012"
"JAC iEV1200T AT 4x2 2P","3144","a7yrGHPG5IE6K12HAEaEELA",True,"AC","2024-04-10 14:11:09","bA38","15230000","100","0","0","-23.511808395385742","-46.74401092529297",NULL,"0","0","0","0",NULL,"100","2024-04-10 12:53:23","2292419","2024-04-10 20:18:27.72304"
"JAC iEV1200T AT 4x2 2P","651","aXDgcLbdfKESNdve23rTTVQ",True,"AC","2024-04-10 14:11:09","bA38","15230000","100","0","0","-23.511808395385742","-46.74401092529297",NULL,"0","0","0","0",NULL,"100","2024-04-10 12:53:23","2291058","2024-04-10 20:03:05.580012"
"E-Expert","198","alKxfdNJFzku54bnuKE43lw",True,"AC","2024-04-10 14:08:00","b1265","237030000","100","0","0","-21.190629959106445","-50.468017578125",NULL,"0","0.009999999776482582","0","0","-0.1511363685131073","100","2024-04-09 20:51:37","2290546","2024-04-10 20:03:05.580012"
"E-Expert","2652","a4CnsjKxr-0S9MihJe-igmw",True,"AC","2024-04-10 14:08:00","b1265","237030000","100","0","0","-21.190629959106445","-50.468017578125",NULL,"0","0.009999999776482582","0","0","-0.1511363685131073","100","2024-04-09 20:51:37","2292043","2024-04-10 20:03:37.624787"
"Kangoo Z.E. MAXI 2 Lugares 2P","758","aIef2OT4FU0CP05uYVAkrAg",True,"AC","2024-04-10 13:57:05","b1E5","670200000","24","0.11363636702299118","0","-23.628902435302734","-46.66795349121094",NULL,"0.10000000149011612","0","0","0","-0.5102272629737854","24","2024-04-10 12:56:32","2291064","2024-04-10 20:03:05.580012"
"Kangoo Z.E. MAXI 2 Lugares 2P","3134","am3zVHijSIE6ZDHnSRd-y4A",True,"AC","2024-04-10 13:57:05","b1E5","670200000","24","0.11363636702299118","0","-23.628902435302734","-46.66795349121094",NULL,"0.10000000149011612","0","0","0","-0.5102272629737854","24","2024-04-10 12:56:32","2292429","2024-04-10 20:18:27.72304"
"Kangoo Z.E. MAXI 2 Lugares 2P","1495","aV0vS3z61TEGTOykYbcAJUg",True,"AC","2024-04-10 13:56:41","b1290","4188800000","100","0.27272728085517883","0","-12.803711891174316","-38.40240478515625",NULL,"0.23999999463558197","0","0","0","-0.3602272868156433","100","2024-04-09 22:59:13","2291766","2024-04-10 20:03:05.580012"
"E-Jumpy","3145","aPRZwzYEgp0eSnaqHUwUOXQ",True,"AC","2024-04-10 13:55:09","bFAA","17696330000","100","1.3068181276321411","1.690000057220459","-19.841075897216797","-43.91244888305664",NULL,"1.149999976158142","0","0","0","-0.550000011920929","98.25","2024-04-10 13:54:40","2292406","2024-04-10 20:18:27.72304"
